monitordate,aqi,so2subindex,cosubindex,pm10subindex,no2subindex,o38subindex,pm25subindex
2022-11-11,93,10,9,57,56,,93
2022-11-11,98,5,5,51,40,44,98
2022-11-11,92,5,3,59,33,45,92
2022-11-11,67,0,2,34,18,67,61
2022-11-11,84,2,8,45,47,47,84
2022-11-11,84,2,3,52,32,51,84
2022-11-11,98,5,3,51,25,54,98
2022-11-11,98,5,3,64,27,71,98
2022-11-11,99,12,5,67,28,80,99
2022-11-11,63,12,2,39,28,,63
2022-11-11,82,8,2,54,20,67,82
2022-11-11,94,2,2,67,13,74,94
2022-11-11,103,5,2,64,12,61,103
2022-11-11,105,8,3,70,27,101,105
2022-11-11,90,2,5,51,35,90,82
2022-11-11,102,10,2,70,27,58,102
2022-11-11,84,5,3,55,17,,84
2022-11-11,91,8,5,59,27,43,91
2022-11-11,96,2,3,59,35,54,96
2022-11-11,88,2,5,52,33,61,88
2022-11-11,85,5,5,56,33,74,85
2022-11-11,79,2,3,47,37,44,79
2022-11-11,82,8,5,48,23,38,82
2022-11-11,70,2,3,35,13,51,70
2022-11-11,62,5,5,34,28,39,62
2022-11-11,37,10,3,25,27,,37
2022-11-11,38,5,3,23,38,31,34
2022-11-11,56,2,3,27,35,44,56
2022-11-11,42,5,3,19,37,24,42
2022-11-11,55,2,5,19,55,40,30
2022-11-11,51,5,6,18,51,19,38
2022-11-11,33,18,1,18,32,23,33
2022-11-11,45,28,5,23,45,18,34
2022-11-11,54,12,7,19,54,21,33
2022-11-11,51,10,10,23,51,,34
2022-11-11,32,5,5,18,32,13,10
2022-11-11,33,2,5,12,33,14,22
2022-11-11,40,5,5,9,40,14,18
2022-11-11,35,10,6,9,35,13,15
2022-11-11,28,5,2,9,28,20,14
2022-11-11,45,2,3,11,45,19,17
2022-11-11,35,0,3,9,35,27,18
2022-11-11,32,8,5,11,32,19,20
2022-11-11,40,2,5,16,40,22,21
2022-11-11,47,2,7,12,47,20,17
2022-11-11,37,2,5,12,37,28,11
2022-11-11,35,0,3,8,35,19,6
2022-11-11,24,0,2,24,20,23,20
2022-11-11,30,5,3,12,30,13,12
2022-11-11,25,2,5,13,25,20,18
2022-11-10,53,2,1,37,23,40,53
2022-11-10,31,0,0,14,7,31,8
2022-11-10,53,2,2,47,22,,53
2022-11-10,18,0,1,18,8,17,10
2022-11-10,45,2,1,31,8,45,44
2022-11-10,50,10,3,37,50,44,44
2022-11-10,54,8,2,27,18,40,54
2022-11-10,112,5,5,37,22,112,64
2022-11-10,77,8,8,53,52,,77
2022-11-10,28,2,8,9,28,,14
2022-11-10,115,5,3,45,30,115,73
2022-11-10,51,2,11,23,51,,27
2022-11-10,17,2,14,11,17,,12
2022-11-10,30,2,3,14,30,20,5
2022-11-10,23,8,2,9,17,23,10
2022-11-10,24,5,1,4,2,24,2
2022-11-10,22,2,2,11,15,22,13
2022-11-10,21,0,1,16,10,21,6
2022-11-10,24,0,1,3,0,24,3
2022-11-10,112,5,2,42,22,112,70
2022-11-10,97,5,5,54,30,97,71
2022-11-10,85,12,5,58,81,47,85
2022-11-10,87,10,7,55,55,,87
2022-11-10,87,5,5,56,52,87,83
2022-11-10,75,5,5,55,42,74,75
2022-11-10,87,8,5,63,40,87,73
2022-11-10,77,5,3,56,28,77,64
2022-11-10,118,8,3,47,32,118,75
2022-11-10,87,8,9,58,55,,87
2022-11-10,89,5,5,55,50,54,89
2022-11-10,85,5,3,61,38,77,85
2022-11-10,74,2,3,41,18,74,69
2022-11-10,78,5,8,49,47,67,78
2022-11-10,77,2,3,52,45,64,77
2022-11-10,80,8,2,40,27,80,69
2022-11-10,80,2,3,54,23,80,68
2022-11-10,81,8,3,56,28,67,81
2022-11-10,54,10,2,43,23,,54
2022-11-10,66,5,3,48,18,61,66
2022-11-10,75,2,3,61,22,64,75
2022-11-10,80,8,3,59,20,44,80
2022-11-10,88,12,3,66,30,87,88
2022-11-10,108,5,5,52,30,108,77
2022-11-10,68,12,3,58,23,44,68
2022-11-10,59,10,5,51,28,,59
2022-11-10,73,20,6,55,40,43,73
2022-11-10,69,5,5,47,50,50,69
2022-11-10,62,8,6,43,43,61,62
2022-11-10,67,8,6,53,40,67,67
2022-11-10,60,8,5,45,51,44,60
2022-11-10,73,5,3,44,47,34,73
2022-11-10,93,5,3,47,25,93,83
2022-11-10,60,8,5,35,28,46,60
2022-11-10,40,8,5,30,32,,40
2022-11-10,39,5,3,23,38,36,39
2022-11-10,46,5,2,20,22,46,39
2022-11-10,48,8,5,24,48,31,46
2022-11-10,33,0,2,10,33,25,8
2022-11-10,32,2,5,12,32,17,22
2022-11-10,33,20,3,21,33,22,28
2022-11-10,37,5,3,17,37,20,17
2022-11-10,35,15,5,12,35,21,27
2022-11-10,40,5,10,20,40,,32
2022-11-10,33,5,2,17,33,17,5
