96,2022-11-21,0,2,1~22,12,30,0~33,Very Good
97,2022-11-21,0,1,1~22,0,33,0~33,Very Good
98,2022-11-21,5,3,45~65,20,64,68~101,Good
99,2022-11-21,8,5,45~65,28,58,68~101,Good
100,2022-11-21,8,5,23~44,50,35,68~101,Good
101,2022-11-21,5,6,23~44,37,49.07818,68~101,Good
102,2022-11-21,5,5,45~65,33,50,68~101,Good
103,2022-11-21,5,3,23~44,33,49,68~101,Good
104,2022-11-21,5,5,45~65,35,48,34~67,Good
105,2022-11-21,8,3,45~65,38,45,34~67,Good
106,2022-11-21,20,6,45~65,45,43,68~101,Good
107,2022-11-21,10,9,45~65,48,49.07818,68~101,Good
108,2022-11-21,8,5,23~44,37,43,68~101,Good
109,2022-11-21,5,5,45~65,35,46,68~101,Good
110,2022-11-21,2,3,23~44,18,50,68~101,Good
111,2022-11-21,2,9,23~44,40,47,34~67,Good
112,2022-11-21,2,5,45~65,25,51,34~67,Good
113,2022-11-21,2,3,23~44,27,48,34~67,Good
114,2022-11-21,5,5,45~65,25,64,34~67,Good
115,2022-11-21,8,5,45~65,25,67,68~101,Good
116,2022-11-21,8,3,23~44,17,49.07818,34~67,Good
117,2022-11-21,8,3,45~65,22,54,34~67,Good
118,2022-11-21,5,3,45~65,23,64,68~101,Good
119,2022-11-21,5,3,45~65,12,47,68~101,Good
120,2022-11-21,5,5,66~87,22,77,68~101,Fair
121,2022-11-21,12,7,45~65,52,77,68~101,Fair
122,2022-11-21,12,3,45~65,18,51,34~67,Good
123,2022-11-21,18,5,45~65,32,49.07818,34~67,Good
124,2022-11-21,18,6,45~65,51,39,68~101,Good
125,2022-11-21,2,5,45~65,55,64,68~101,Good
126,2022-11-21,2,7,45~65,56,67,34~67,Good
127,2022-11-21,8,6,45~65,53,61,68~101,Good
128,2022-11-21,2,5,23~44,52,50,34~67,Good
129,2022-11-21,5,5,23~44,30,42,34~67,Good
130,2022-11-21,2,3,23~44,18,54,34~67,Good
131,2022-11-21,2,5,23~44,35,42,34~67,Very Good
132,2022-11-21,5,5,1~22,47,49.07818,0~33,Very Good
133,2022-11-21,2,3,1~22,32,39,0~33,Very Good
134,2022-11-21,2,3,1~22,22,39,0~33,Very Good
135,2022-11-21,2,3,1~22,25,38,0~33,Very Good
136,2022-11-21,2,3,1~22,28,34,0~33,Very Good
137,2022-11-21,2,5,1~22,28,36,0~33,Very Good
138,2022-11-21,15,2,23~44,28,38,34~67,Very Good
139,2022-11-21,20,3,23~44,43,33,0~33,Very Good
140,2022-11-21,2,3,1~22,23,33,0~33,Very Good
141,2022-11-21,2,6,23~44,47,49.07818,34~67,Very Good
142,2022-11-21,2,3,23~44,40,31,0~33,Very Good
143,2022-11-21,2,3,1~22,30,31,0~33,Very Good
144,2022-11-21,2,5,1~22,35,31,0~33,Very Good
145,2022-11-21,0,6,1~22,42,30,0~33,Very Good
146,2022-11-21,0,2,1~22,12,38,0~33,Very Good
147,2022-11-21,2,2,1~22,10,37,0~33,Very Good
148,2022-11-21,2,3,1~22,30,36,0~33,Very Good
149,2022-11-21,2,3,1~22,20,34,0~33,Very Good
150,2022-11-21,0,3,1~22,20,34,0~33,Very Good
151,2022-11-21,2,5,1~22,32,31,0~33,Very Good
152,2022-11-21,2,5,1~22,30,33,0~33,Very Good
153,2022-11-21,5,3,1~22,18,32,0~33,Very Good
154,2022-11-21,2,2,23~44,10,43,34~67,Very Good
155,2022-11-21,5,3,1~22,35,32,0~33,Very Good
156,2022-11-21,0,3,1~22,27,36,0~33,Very Good
157,2022-11-20,5,1,23~44,13,45,0~33,Very Good
158,2022-11-20,2,0,23~44,7,47,0~33,Very Good
159,2022-11-20,5,2,23~44,20,49.07818,34~67,Very Good
160,2022-11-20,0,1,1~22,3,30,0~33,Very Good
161,2022-11-20,0,1,23~44,5,46,0~33,Very Good
162,2022-11-20,8,5,23~44,40,64,34~67,Good
163,2022-11-20,2,3,1~22,15,36,34~67,Very Good
164,2022-11-20,5,5,23~44,22,54,34~67,Good
165,2022-11-20,5,7,45~65,42,49.07818,68~101,Fair
166,2022-11-20,2,5,1~22,52,49.07818,0~33,Good
167,2022-11-20,2,3,23~44,23,64,68~101,Good
168,2022-11-20,2,8,1~22,42,49.07818,0~33,Very Good
169,2022-11-20,2,10,1~22,52,49.07818,0~33,Good
170,2022-11-20,0,2,1~22,13,32,0~33,Very Good
171,2022-11-20,2,2,1~22,17,31,0~33,Very Good
172,2022-11-20,2,1,1~22,0,41,0~33,Very Good
173,2022-11-20,0,2,1~22,20,32,0~33,Very Good
174,2022-11-20,0,1,1~22,7,31,0~33,Very Good
175,2022-11-20,0,1,1~22,0,27,0~33,Very Good
176,2022-11-20,8,5,45~65,17,143,102~135,Poor
177,2022-11-20,8,5,45~65,25,97,68~101,Fair
178,2022-11-20,10,6,45~65,38,77,102~135,Fair
179,2022-11-20,8,6,45~65,47,49.07818,68~101,Fair
180,2022-11-20,5,6,45~65,30,80,102~135,Fair
181,2022-11-20,5,6,45~65,35,71,68~101,Fair
182,2022-11-20,2,5,45~65,28,74,68~101,Fair
183,2022-11-20,5,5,45~65,35,101,68~101,Fair
184,2022-11-20,10,5,45~65,33,100,102~135,Fair
185,2022-11-20,8,7,45~65,37,49.07818,102~135,Fair
186,2022-11-20,5,5,45~65,32,80,102~135,Fair
